ch_num|offset|title|words
0|3.2150000000000003|Chapter 0. Dragonmount|chapter zero dragon mount
1|154.018125|Chapter 1. An Empty Road|chapter one an empty road point of view randall
2|308.284375|Chapter 2. Strangers|chapter two strangers point of view re
3|538.0031250000001|Chapter 3. The Peddler|chapter three the peddler point of view randall thor
4|732.0093750000001|Chapter 4. The Gleeman|chapter four the gleaming point of view randall thor
5|827.7725|Chapter 5. Winternight|chapter five winter night point of view randall thor
6|924.9356250000001|Chapter 6. The Westwood|chapter six the westwood point of view randall thor
7|1041.4519529999998|Chapter 7. Out of the Woods|chapter seven out of the woods point of view
8|1146.099375|Chapter 8. A Place of Safety|chapter eight a place of safety point of view
9|1355.414375|Chapter 9. Tellings of the Wheel|chapter nine tellings of the wheel point
10|1633.4818749999997|Chapter 10. Leavetaking|chapter ten leave taking point of view randall thor
11|1791.1074999999998|Chapter 11. The Road to Taren Ferry|chapter eleven the road to torn ferry point of
12|1943.2674999999997|Chapter 12. Across the Taren|chapter twelve
13|2134.078752|Chapter 13. Choices|chapter thirteen choices point of view randall thor before
14|2343.5300019999995|Chapter 14. The Stag and Lion|chapter fourteen the stag and lion
15|2618.394377|Chapter 15. Strangers and Friends|chapter fifteen strangers and friends point of view randall
16|2924.608752|Chapter 16. The Wisdom|chapter sixteen the wisdom point of view rant inside
17|3109.3681269999997|Chapter 17. Watchers and Hunters|chapter seventeen watchers and hunters point of view randall
18|3409.498127|Chapter 18. The Caemlyn Road|chapter eighteen the kaolin road point of view randall
19|3690.352502|Chapter 19. Shadow's Waiting|chapter nineteen shadows waiting point of view randall thor
20|3981.4550019999997|Chapter 20. Dust on the Wind|chapter twenty dust on the wind point of view
21|4378.158127000001|Chapter 21. Listen to the Wind|chapter twenty one listened to the wind point of
22|4787.662502000001|Chapter 22. A Path Chosen|chapter twenty-two path chosen point of view parent eibar
23|4897.131877|Chapter 23. Wolfbrother|chapter twenty three wolf brother point of view parent
24|5569.991877|Chapter 24. Flight Down the Arinelle|chapter twenty four flight down the original point of
25|6194.134377|Chapter 25. The Traveling People|chapter twenty five the traveling people point of view
26|6788.3568159999995|Chapter 26. Whitebridge|chapter twenty six white bridge point of view randolph
27|7778.601816000001|Chapter 27. Shelter From the Storm|chapter twenty seven shelter from the storm point of
28|8420.369316|Chapter 28. Footprints in Air|chapter twenty eight footprints in air point of view
29|8897.949316|Chapter 29. Eyes Without Pity|chapter twenty nine eyes without pity point of view
30|9640.568066|Chapter 30. Children of Shadow|chapter thirty children of shadow point of view parent
31|9777.403691|Chapter 31. Play for Your Supper|chapter thirty one play for your supper point of
32|9971.649941|Chapter 32. Four Kings in Shadow|chapter thirty two four
33|10745.754941|Chapter 33. The Dark Waits|chapter thirty three the dark weights point of view
34|11740.661191000001|Chapter 34. The Last Village|chapter thirty four the last village point of view
35|12416.260566|Chapter 35. Caemlyn|chapter thirty five kaolin point of view randall thor
36|13084.218691|Chapter 36. Web of the Pattern|chapter thirty six web of the pattern point of
37|13213.450566|Chapter 37. The Long Chase|chapter thirty seven the long chase point of view
38|13592.144316|Chapter 38. Rescue|chapter thirty eight rescue point of view parent eibar
39|14198.946191|Chapter 39. Weaving of the Web|chapter thirty nine weaving of the web point of
40|14353.950566|Chapter 40. The Web Tightens|chapter forty the web titans point of view roy
41|14655.552441000002|Chapter 41. Old Friends and New Threats|chapter forty one old friends and new threats point
42|14865.363691000002|Chapter 42. Remembrance of Dreams|chapter forty-two remembrance of dreams point of view randall
43|15057.010643999998|Chapter 43. Decisions and Apparitions|chapter forty three
44|15258.222519000003|Chapter 44. The Dark Along the Ways|chapter forty four the dark along the ways point
45|15415.386268999999|Chapter 45. What Follows in Shadow|chapter forty five what follows in shadow
46|16140.903768999999|Chapter 46. Fal Dara|chapter forty six bell dora point of view randall
47|16265.440644000002|Chapter 47. More Tales of the Wheel|chapter forty seven more tales of the wheel point
48|16461.272519|Chapter 48. The Blight|chapter forty eight
49|16605.159862999997|Chapter 49. The Dark One Stirs|chapter
50|16740.450488|Chapter 50. Meetings at the Eye|chapter fifty meetings at the ai point of view
51|16938.849863|Chapter 51. Against the Shadow|chapter fifty one against the shadow point of view
52|17159.254394|Chapter 52. There Is Neither Beginning Nor End|chapter fifty two there is neither beginning
