ch_num|offset|title|words
0|1.285|Chapter 0. The Great Hunt/Prologue|chapter zero the great hunt slash prologue point of
1|143.905|Chapter 1. The Flame of Tar Valon|chapter one the flame of tar valon point of
2|272.30125|Chapter 2. The Welcome|chapter to the welcome point of view randall thor
3|404.1325|Chapter 3. Friends and Enemies|chapter three friends and enemies point of view randall
4|561.433125|Chapter 4. Summoned|chapter four summoned point of view maureen dahl moderate
5|759.079375|Chapter 5. The Shadow in Shienar|chapter five the shadow in shiner point of view
6|1062.249375|Chapter 6. Dark Prophecy|chapter six dark prophecy point of view randolph
7|1264.12|Chapter 7. Blood Calls Blood|chapter seven blood calls blood point of view maureen
8|1542.615|Chapter 8. The Dragon Reborn|chapter eight the dragon reborn
9|1824.494375|Chapter 9. Leavetakings|chapter nine leave takings point of view randall thor
10|2105.801875|Chapter 10. The Hunt Begins|chapter ten the hunt begins point of view randall
11|2307.64125|Chapter 11. Glimmers of the Pattern|chapter eleven glimmers of the pattern point of view
12|2516.114375|Chapter 12. Woven in the Pattern|chapter twelve woven in the pattern point of view
13|2710.386875|Chapter 13. From Stone to Stone|chapter thirteen from stone to stone point of view
14|2828.49125|Chapter 14. Wolfbrother|chapter fourteen wolf brother point of view parent eibar
15|2978.566875|Chapter 15. Kinslayer|chapter fifteen kin slayer point of view randall thor
16|3079.088125|Chapter 16. In the Mirror of Darkness|chapter sixteen in the mirror of darkness point of
17|3253.351062|Chapter 17. Choices|chapter seventeen choices point of view randall thor celine
18|3335.495437|Chapter 18. To the White Tower|chapter eighteen to the white tower point of view
19|3450.897312|Chapter 19. Beneath the Dagger|chapter nineteen beneath the dagger point of view randall
20|3678.602312|Chapter 20. Saidin|chapter twenty sardine point of view randall thor rand
21|3798.226687|Chapter 21. The Nine Rings|chapter twenty one the nine rings point of view
22|3925.158562|Chapter 22. Watchers|chapter twenty two watchers point of view maureen
23|4199.447937|Chapter 23. The Testing|chapter twenty three the testing point of view nine
24|4414.493562|Chapter 24. New Friends and Old Enemies|chapter twenty four new friends and old enemies point
25|4695.601687|Chapter 25. Cairhien|chapter twenty five korean point of view randall thor
26|4845.367312|Chapter 26. Discord|chapter twenty six discord point of view randall thor
27|4987.829187|Chapter 27. The Shadow in the Night|chapter twenty seven the shadow in the night point
28|5095.861062|Chapter 28. A New Thread in the Pattern|chapter twenty eight a new thread in the pattern
29|5209.682937|Chapter 29. Seanchan|chapter twenty nine shanshan point of view jeff ram
30|5346.99875|Chapter 30. Daes Dae'mar|chapter thirty
31|5654.765625|Chapter 31. On the Scent|chapter three
32|5827.648125|Chapter 32. Dangerous Words|chapter thirty-two dangerous words point of view randall thor
33|6061.795|Chapter 33. A Message from the Dark|chapter thirty three a message from the dark point
34|6178.68125|Chapter 34. The Wheel Weaves|chapter thirty four the wheel weaves point of view
35|6340.425|Chapter 35. Stedding Tsofu|chapter thirty five steading sofa point of view randall
36|6579.705625|Chapter 36. Among the Elders|chapter thirty six among the elders point of view
37|6805.359375|Chapter 37. What Might Be|chapter thirty seven what might be point of view
38|6939.100625|Chapter 38. Practice|chapter thirty eight practice point of view
39|7187.765|Chapter 39. Flight from the White Tower|chapter thirty nine flight from the white tower point
40|7310.134375|Chapter 40. Damane|chapter forty damn a w k point of view
41|7461.398125|Chapter 41. Disagreements|chapter forty one
42|7638.871875|Chapter 42. Falme|chapter forty two thelma point of view nine evil
43|7766.141875|Chapter 43. A Plan|chapter forty three
44|7913.259375|Chapter 44. Five Will Ride Forth|chapter forty four five will ride forth point of
45|8031.475625|Chapter 45. Blademaster|chapter forty five blade master point of view nine
46|8240.87125|Chapter 46. To Come Out of the Shadow|chapter forty six to come out of the shadow
47|8509.274375|Chapter 47. The Grave Is Nor Bar to My Call|chapter forty seven the grave is nor bar to
48|8865.21625|Chapter 48. First Claiming|chapter forty eight first claiming point of view men
49|9128.96875|Chapter 49. What Was Meant to Be|chapter forty nine what was meant to be point
50|9444.26666666667|Chapter 50. After|chapter fifty after point of view
