ch_num|offset|title|words
0|0|Fortress of the Light|
1|284.125|Chapter 1. Waiting|chapter one waiting point of view perron i borrow
2|369.86687500000005|Chapter 2. Saidin|chapter two psi dean point of view perron i
3|512.015|Chapter 3. News from the Plain|chapter three news from the plane point of view
4|616.339375|Chapter 4. Shadows Sleeping|chapter four shadow sleeping point of view perron i
5|778.061875|Chapter 5. Nightmares Walking|chapter five nightmares walking point of view perron i
6|1008.6475000000002|Chapter 6. The Hunt Begins|chapter six the hunt begins
7|1156.6106249999998|Chapter 7. The Way Out of the Mountains|chapter seven the way out of the mountains point
8|1222.3743749999999|Chapter 8. Jarra|chapter eight gera point of view
9|1411.023125|Chapter 9. Wolf Dreams|chapter nine wolf dry
10|1571.27375|Chapter 10. Secrets|chapter ten secrets point of view a wayne eljvir
11|1747.4575|Chapter 11. Tar Valon|chapter eleven tar and point of view a wayne
12|1862.29625|Chapter 12. The Amyrlin Seat|chapter twelve the amurland seat point of view soon
13|1969.12625|Chapter 13. Punishments|chapter thirteen punishments point of view a wayne eljvir
14|2113.52125|Chapter 14. The Bite of the Thorns|chapter fourteen the bite of the thorns
15|2240.601875|Chapter 15. The Gray Man|chapter fifteen the grey man point of view a
16|2347.1099999999997|Chapter 16. Hunters Three|chapter sixteen hunters three point of view
17|2431.765|Chapter 17. The Red Sister|chapter seventeen the red sister point of view a
18|2493.7599999999998|Chapter 18. Healing|chapter eighteen dealing point of view a queen eljvir
19|2595.173125|Chapter 19. Awakening|chapter nineteen awakening
20|2677.313125|Chapter 20. Visitations|chapter twenty visitations point of view matt room coffin
21|2855.5931250000003|Chapter 21. A World of Dreams|chapter twenty one a were
22|3021.253125|Chapter 22. The Price of the Ring|chapter twenty two the price of the ring point
23|3327.0825|Chapter 23. Sealed|chapter twenty three sealed point of view it
24|3493.4193750000004|Chapter 24. Scouting and Discoveries|chapter twenty four scouting and discover
25|3659.059375|Chapter 25. Questions|chapter twenty five questions point of view
26|3912.9156249999996|Chapter 26. Behind a Lock|chapter twenty six behind a lock point of view
27|4024.090625|Chapter 27. Tel'aran'rhoid|chapter twenty seven teller and roid point of view
28|4236.910625|Chapter 28. A Way Out|chapter twenty eight
29|4317.5112500000005|Chapter 29. A Trap to Spring|chapter twenty nine
30|4533.801875000001|Chapter 30. The First Toss|chapter thirty the first toss point of view matt
31|4767.393125|Chapter 31. The Woman of Tanchico|chapter thirty one the woman of ten chico point
32|4900.604375|Chapter 32. The First Ship|chapter thirty two the first ship point of view
33|5160.146875|Chapter 33. Within the Weave|chapter thirty three within the we've point of
34|5354.3575|Chapter 34. A Different Dance|chapter thirty four a different dance point of view
35|5522.243125|Chapter 35. The Falcon|chapter thirty five the falcon point of view perron
36|5655.760625000001|Chapter 36. Daughter of the Night|chapter thirty six daughter of the night point of
37|5874.8618750000005|Chapter 37. Fires in Cairhien|chapter thirty seven fires in kyrie in point of
38|6030.606875|Chapter 38. Maidens of the Spear|chapter thirty eight maidens of the spear point of
39|6550.046875|Chapter 39. Threads in the Pattern|chapter thirty nine threads in the pattern point of
40|6907.885|Chapter 40. A Hero in the Night|chapter forty a hero in the night point of
41|7070.49375|Chapter 41. A Hunter's Oath|chapter forty one a hunter's oath point of view
42|7213.8618750000005|Chapter 42. Easing the Badger|chapter forty two easing the badger
43|7357.824374999999|Chapter 43. Shadowbrothers|chapter forty three shadow brothers point of view perron
44|7477.831875000002|Chapter 44. Hunted|chapter forty four hunted point of view perron i
45|7670.015625|Chapter 45. Caemlyn|chapter forty five came lynn point of view matt
46|7780.27|Chapter 46. A Message Out of the Shadow|chapter forty six a message out of the shadow
47|7899.55|Chapter 47. To Race the Shadow|chapter forty seven to race the shadow
48|8010.710000000001|Chapter 48. Following the Craft|chapter forty eight following the craft
49|8198.114375000001|Chapter 49. A Storm in Tear|chapter forty nine a storm in tear point of
50|8462.9575|Chapter 50. The Hammer|chapter fifty the hammer point of view perron i
51|8656.9025|Chapter 51. Bait for the Net|chapter fifty one eight for the net point of
52|8780.395|Chapter 52. In Search of a Remedy|chapter fifty two in search of a remedy point
53|8895.68875|Chapter 53. A Flow of the Spirit|chapter fifty three a flow of the spirit point
54|9038.848125|Chapter 54. Into the Stone|chapter fifty four into the stone point of view
55|9340.721875|Chapter 55. What Is Written in Prophecy|chapter fifty five what is written in prophecy point
56|9799.62666666667|Chapter 56. People of the Dragon|chapter fifty six people of the dragon point of
