ch_num|offset|title|words
1|0|Chapter 1. Seeds of Shadow|
2|709.301875|Chapter 2. Whirlpools in the Pattern|chapter two whirl pools in the pattern point of
3|1158.65875|Chapter 3. Reflection|chapter three reflection
4|1395.1218749999998|Chapter 4. Strings|chapter four strings point of view tom marilyn
5|1566.4199999999998|Chapter 5. Questioners|chapter five questioners point of view a wayne eljvir
6|1726.930625|Chapter 6. Doorways|chapter six doorways point of view the lane track
7|2000.791875|Chapter 7. Playing With Fire|chapter seven playing with fire point of view a
8|2261.085625|Chapter 8. Hard Heads|chapter eight hard heads
9|2499.429375|Chapter 9. Decisions|chapter nine
10|2813.953125|Chapter 10. The Stone Stands|chapter ten the stone stance point of view randell
11|3188.503125|Chapter 11. What Lies Hidden|chapter eleven what lies hidden point of view a
12|3460.3737499999997|Chapter 12. Tanchico or the Tower|chapter twelve ten chico or the tower point of
13|3639.984375|Chapter 13. Rumors|chapter thirteen
14|3801.543125|Chapter 14. Customs of Mayene|chapter fourteen customs of main point of view perron
15|3977.3925|Chapter 15. Into the Doorway|chapter fifteen into the doorway
16|4256.345|Chapter 16. Leavetakings|chapter sixteen leave takings point of view perron i
17|4462.606875|Chapter 17. Deceptions|chapter seventeen deceptions point of view founder or marilyn
18|4825.333125|Chapter 18. Into the Ways|chapter eighteen into the ways point of view pair
19|4927.602500000001|Chapter 19. The Wavedancer|chapter nineteen the wave dancer point of view elaine
20|5119.123750000001|Chapter 20. Winds Rising|chapter twenty wins rising point of view elaine track
21|5384.318125|Chapter 21. Into the Heart|chapter twenty one into the heart point of view
22|5701.895625000001|Chapter 22. Out of the Stone|chapter twenty two out of the stone point of
23|5919.963125000001|Chapter 23. Beyond the Stone|chapter twenty three beyond the stone point of view
24|6356.7681250000005|Chapter 24. Rhuidean|chapter twenty four roadie on point of view matt
25|6587.078750000001|Chapter 25. The Road to the Spear|chapter twenty five the road to the spear point
26|7256.040000000001|Chapter 26. The Dedicated|chapter twenty six the dedicated rand is living past
27|8049.02|Chapter 27. Within the Ways|chapter twenty seven within the ways point of view
28|8168.210625000001|Chapter 28. To the Tower of Ghenjei|chapter twenty eight to the tower of gun shy
29|8367.62|Chapter 29. Homecoming|chapter twenty nine homecoming point of view perron i
30|8540.92625|Chapter 30. Beyond the Oak|chapter thirty beyond the oak point of view perron
31|8660.533125000002|Chapter 31. Assurances|chapter thirty one a
32|9083.9025|Chapter 32. Questions to Be Asked|chapter thirty two questions to be asked point of
33|9294.79|Chapter 33. A New Weave in the Pattern|chapter thirty three a new we've in the pattern
34|9656.4825|Chapter 34. He Who Comes With the Dawn|chapter thirty four key who comes with the dawn
35|10005.74|Chapter 35. Sharp Lessons|chapter thirty five sharp lessons point of view a
36|10160.089375000001|Chapter 36. Misdirections|chapter thirty six mr actions
37|10349.320625|Chapter 37. Imre Stand|chapter thirty seven imre stand point of view randell
38|10651.96875|Chapter 38. Hidden Faces|chapter thirty eight didn't faces point of view eg
39|10890.893750000001|Chapter 39. A Cup of Wine|chapter thirty nine cup of wine point of view
40|11108.674375|Chapter 40. Hunter of Trollocs|chapter forty hunter of trial x point of view
41|11200.600625000001|Chapter 41. Among the Tuatha'an|chapter for
42|11324.260625|Chapter 42. A Missing Leaf|chapter forty two a missing leaf point of view
43|11454.19375|Chapter 43. Care for the Living|chapter forty three care for the living
44|11524.90375|Chapter 44. The Breaking Storm|chapter forty four the breaking storm point of view
45|11643.98125|Chapter 45. The Tinker's Sword|chapter forty five the tinker sword point of view
46|11844.001250000001|Chapter 46. Veils|chapter forty six bales point of view eg in
47|12019.497500000001|Chapter 47. The Truth of a Viewing|chapter forty seven the truth of a viewing
48|12238.701250000002|Chapter 48. An Offer Refused|chapter forty eight and offer refused point of view
49|12354.386250000001|Chapter 49. Cold Rocks Hold|chapter forty nine
50|12492.803750000001|Chapter 50. Traps|chapter fifty
51|12725.778125|Chapter 51. Revelations in Tanchico|chapter fifty one revelations in ten chico point of
52|12856.61|Chapter 52. Need|chapter fifty two need point of view nine evil
53|13058.834375|Chapter 53. The Price of a Departure|chapter fifty three the price of a departure point
54|13232.89875|Chapter 54. Into the Palace|chapter fifty four into the palace point of view
55|13388.129375|Chapter 55. Into the Deep|chapter fifty five into the deep point of view
56|13475.341875|Chapter 56. Goldeneyes|chapter fifty six golden eyes point of view perron
57|13649.310625000002|Chapter 57. A Breaking in the Three-fold Land|chapter fifty seven a breaking in the threefold land
58|13837.82875|Chapter 58. The Traps of Rhuidean|chapter fifty eight the traps of roy the on
