ch_num|offset|title|words
0|0|Chapter 0. The First Sparks Fall|
1|154.118125|Chapter 1. Fanning the Sparks|chapter one fanning the sparks point of view min
2|287.368125|Chapter 2. Rhuidean|chapter two roadie on point of view rand
3|386.6175|Chapter 3. Pale Shadows|chapter three pale shadows point of view randell thor
4|518.788125|Chapter 4. Twilight|chapter four twilight point of view right
5|622.3856250000001|Chapter 5. Among the Wise Ones|chapter five among the wise once point of view
6|714.4625|Chapter 6. Gateways|chapter six gateways
7|902.681875|Chapter 7. A Departure|chapter seven a departure point of view a queen
8|970.921875|Chapter 8. Over the Border|chapter eight over the border point
9|1043.86375|Chapter 9. A Signal|chapter nine a signal point of view nine evil
10|1149.7968749999998|Chapter 10. Figs and Mice|chapter ten figs and mice point of view the
11|1296.3943749999999|Chapter 11. The Nine Horse Hitch|chapter eleven the nine horse hitch point of
12|1372.6612499999999|Chapter 12. An Old Pipe|chapter twelve and old pipe
13|1405.6543749999998|Chapter 13. A Small Room in Sienda|chapter thirteen a small room in see enda point
14|1487.1425|Chapter 14. Meetings|chapter fourteen meetings point of view
15|1588.9993749999999|Chapter 15. What Can Be Learned in Dreams|chapter fifteen what can be learned in dreams point
16|1791.84|Chapter 16. An Unexpected Offer|chapter sixteen and unexpected offer point of view
17|1868.8631249999999|Chapter 17. Heading West|chapter seventeen heading west point of view nine evil
18|1975.744375|Chapter 18. A Hound of Darkness|chapter eighteen a house
19|2063.479375|Chapter 19. Memories|chapter nineteen memories point of view more geese tracking
20|2123.108125|Chapter 20. Jangai Pass|chapter twenty jang i pass point
21|2187.311875|Chapter 21. The Gift of a Blade|chapter twenty one
22|2283.9174999999996|Chapter 22. Birdcalls by Night|chapter twenty two bird calls by night point of
23|2411.979375|Chapter 23. "The Fifth, I Give You"|chapter twenty three the fifth i give you point
24|2486.6974999999998|Chapter 24. A Message Sent|chapter twenty
25|2557.923125|Chapter 25. Dreams of Galad|chapter twenty five dreams of gallet point of view
26|2660.9275|Chapter 26. Sallie Daera|chapter twenty six sally darragh point of view
27|2751.0725|Chapter 27. The Practice of Diffidence|chapter twenty seven the practice of diffidence point of
28|2909.065|Chapter 28. Trapped|chapter twenty eight trapped point of view gareth brine
29|3031.78125|Chapter 29. Memories of Saldaea|chapter twenty nine memories of sell dia point of
30|3106.365|Chapter 30. A Wager|chapter thirty
31|3177.705625|Chapter 31. The Far Snows|chapter thirty one the far snows point of view
32|3291.3331249999997|Chapter 32. A Short Spear|chapter thirty two a short spear
33|3391.0768749999997|Chapter 33. A Question of Crimson|chapter thirty three a question of crew
34|3488.925625|Chapter 34. A Silver Arrow|chapter thirty four a silver arrow point of view
35|3615.9774999999995|Chapter 35. Ripped Away|chapter thirty five ripped away point of view elaine
36|3689.0275|Chapter 36. A New Name|chapter thirty six a new name point of view
37|3813.85375|Chapter 37. Performances in Samara|chapter thirty seven performances in some mara point of
38|3907.0018749999995|Chapter 38. An Old Acquaintance|chapter thirty
39|3952.8468749999997|Chapter 39. Encounters in Samara|chapter thirty nine encounters in some mara point of
40|4034.435625|Chapter 40. The Wheel Weaves|chapter forty the wheel weaves
41|4132.420000000001|Chapter 41. The Craft of Kin Tovere|chapter forty one the craft of kin to veer
42|4211.186875|Chapter 42. Before the Arrow|chapter forty two before the arrow point of view
43|4325.09|Chapter 43. This Place, This Day|chapter
44|4481.077500000001|Chapter 44. The Lesser Sadness|chapter forty four the lesser sadness point of view
45|4659.14125|Chapter 45. After the Storm|chapter forty five after the storm point of view
46|4745.932500000001|Chapter 46. Other Battles, Other Weapons|chapter forty six other battles other weapons point of
47|4850.04125|Chapter 47. The Price of a Ship|chapter forty seven the price of a ship point
48|5004.929375000001|Chapter 48. Leavetakings|chapter forty eight leave takings
49|5114.9556250000005|Chapter 49. To Boannda|chapter forty nine to blanda point of view nine
50|5261.934375|Chapter 50. To Teach, and Learn|chapter fifty to teach and learn point of view
51|5430.573125000001|Chapter 51. News Comes to Cairhien|chapter fifty one news comes to carry in point
52|5612.453750000001|Chapter 52. Choices|chapter fifty two choices point of view randell thor
53|5807.69375|Chapter 53. Fading Words|chapter fifty three fading words point of view randell
54|5949.5337500000005|Chapter 54. To Caemlyn|chapter fifty four to came one point of view
55|6162.748125|Chapter 55. The Threads Burn|chapter fifty five the threads burn point of view
56|6469.0962500000005|Chapter 56. Glowing Embers|chapter fifty six glowing embers point of view randell
