ch_num|offset|title|words
0|0|Chapter 0. Lord of Chaos/Prologue|
1|467.795|Chapter 1. Lion on the Hill|chapter one lion on the hill point of view
2|619.92875|Chapter 2. A New Arrival|chapter three point of view randell
3|619.92875|Chapter 3. Lord of Chaos/Chapter 3|chapter three point of view randell thor ran channels
4|787.378125|Chapter 4. A Sense of Humor|chapter five a different dance point of view matt
5|934.130625|Chapter 5. A Different Dance|chapter six threads woven of shadow point of view
6|1050.03|Chapter 6. Threads Woven of Shadow|chapter seven a matter of thought point of view
7|1171.6125|Chapter 7. A Matter of Thought|chapter eight the storm gathers point of view
8|1251.42375|Chapter 8. The Storm Gathers|chapter nine plants point of view padron neil hedren
9|1340.3243749999997|Chapter 9. Plans|chapter ten a saying in the borderlands point of
10|1431.2|Chapter 10. A Saying in the Borderlands|chapter eleven lessons and teachers point of view veyron
11|1513.118125|Chapter 11. Lessons and Teachers|chapter twelve questions
12|1638.4225000000001|Chapter 12. Questions and Answers|chapter thirteen under the dust plot point of view
13|1771.315|Chapter 13. Under the Dust|chapter fourteen dreams and nightmares point of view a
14|1894.716875|Chapter 14. Dreams and Nightmares|chapter fifteen a pile of sand point of view
15|2110.786875|Chapter 15. A Pile of Sand|chapter sixteen telling of the wheel point of view
16|2219.7268750000003|Chapter 16. Tellings of the Wheel|chapter seventeen the wheel of a life point of
17|2458.863125|Chapter 17. The Wheel of a Life|chapter nineteen matters of tell
18|2572.834375|Chapter 18. A Taste of Solitude|chapter twenty from the steadying point of view randell
19|2770.91625|Chapter 19. Matters of Toh|chapter twenty one to shut our law
20|2881.7656249999995|Chapter 20. From the Stedding|chapter twenty two heading south point of view matt
21|2974.764375|Chapter 21. To Shadar Logoth|chapter twenty three to understand a message
22|3029.57125|Chapter 22. Heading South|chapter twenty four an embassy point of view a
23|3094.3668749999997|Chapter 23. To Understand a Message|chapter twenty five
24|3251.094375|Chapter 24. An Embassy|chapter twenty six connecting lines point of view randell
25|3356.3325|Chapter 25. Like Lightning and Rain|chapter twenty seven gifts point of view a queen
26|3525.785|Chapter 26. Connecting Lines|chapter twenty eight letters point of view randell thor
27|3700.748125|Chapter 27. Gifts|chapter twenty nine fire and spirit point of view
28|3790.2774999999992|Chapter 28. Letters|chapter thirty to heal again
29|4058.9349999999995|Chapter 29. Fire and Spirit|chapter thirty one read wax point of view aim
30|4201.849375000001|Chapter 30. To Heal Again|chapter thirty two summoned in haste point of view
31|4407.243125000001|Chapter 31. Red Wax|chapter thirty three courage to strengthen point of view
32|4558.479375000001|Chapter 32. Summoned in Haste|chapter thirty four journey to salvador point of view
33|4799.67125|Chapter 33. Courage to Strengthen|chapter thirty five in the hall of the sitters
34|4896.4825|Chapter 34. Journey to Salidar|chapter thirty six the a merlin is raised point
35|5018.011875|Chapter 35. In the Hall of the Sitters|chapter thirty seven when battle begins point of view
36|5224.704375|Chapter 36. The Amyrlin Is Raised|chapter thirty eight a sudden chill point of view
37|5357.229375000001|Chapter 37. When Battle Begins|chapter thirty nine possibilities point of view a queen
38|5418.729375|Chapter 38. A Sudden Chill|chapter forty unexpected laughter point of view matt room
39|5519.748125000001|Chapter 39. Possibilities|chapter forty one a threat point of view mean
40|5686.69375|Chapter 40. Unexpected Laughter|chapter forty two the black tower point of view
41|5820.705|Chapter 41. A Threat|chapter forty three the crown of roses point of
42|5892.491875000001|Chapter 42. The Black Tower|chapter forty four the color of trust point of
43|6058.36625|Chapter 43. The Crown of Roses|chapter forty five a bitter thought point of view
44|6203.97375|Chapter 44. The Color of Trust|chapter forty so
45|6445.275000000001|Chapter 45. A Bitter Thought|chapter forty seven the wandering woman point of view
46|6550.820625|Chapter 46. Beyond the Gate|chapter forty eight leaning on the knife point of
47|6612.6575|Chapter 47. The Wandering Woman|chapter forty nine the mirror of mists point of
48|6822.294375|Chapter 48. Leaning on the Knife|chapter fifty thorns point of view randell thor rand
49|6950.476875|Chapter 49. The Mirror of Mists|chapter fifty one the taking point of view randell
50|7047.819375|Chapter 50. Thorns|chapter fifty two weaves of the power point of
51|7209.780624999999|Chapter 51. The Taking|chapter fifty three the feast of lights point of
52|7418.501250000001|Chapter 52. Weaves of the Power|chapter fifty for the sending point of view perron
53|7549.240624999999|Chapter 53. The Feast of Lights|chapter fifty five point of view gone tracking and
54|7549.240624999999|Chapter 54. The Sending|chapter fifty five point of view gone tracking guy
55|7763.637500000001|Chapter 55. Lord of Chaos/Chapter 55|chapter fifty six the answer point of view value
