ch_num|offset|title|words
0|0|Chapter 0. Lightnings|
1|326.34625|Chapter 1. High Chasaline|chapter one i chassis lean point of view
2|399.365|Chapter 2. The Butcher's Yard|chapter to the butcher's yard point of view perron
3|559.486875|Chapter 3. Hill of the Golden Dawn|chapter three hill of the golden dawn point of
4|727.72875|Chapter 4. Into Cairhien|chapter four into kyrie in point of view perron
5|859.575|Chapter 5. A Broken Crown|chapter five a broken crown point of view perron
6|1006.4850000000001|Chapter 6. Old Fear, and New Fear|chapter six old
7|1134.74375|Chapter 7. Pitfalls and Tripwires|chapter seven pitfalls and trip wires point of view
8|1291.0025|Chapter 8. The Figurehead|chapter eight the figurehead point of view a wayne
9|1357.1225|Chapter 9. A Pair of Silverpike|chapter nine a pair of silver pike point of
10|1461.629375|Chapter 10. Unseen Eyes|chapter ten unseen eyes point of view a queen
11|1577.3956249999999|Chapter 11. An Oath|chapter eleven an oath point of view a wayne
12|1640.2781249999998|Chapter 12. A Morning of Victory|chapter twelve a morning a victory point of view
14|1855.1725000000001|Chapter 14. White Plumes|chapter fourteen white plumes point of view matt room
15|1930.6499999999999|Chapter 15. Insects|chapter fifteen insects point of view jake him keratin
16|1987.0825|Chapter 16. A Touch on the Cheek|chapter sixteen a touch on the cheek point of
17|2081.12875|Chapter 17. The Triumph of Logic|chapter seventeen the triumph of logic point of view
18|2195.0699999999997|Chapter 18. As the Plow Breaks the Earth|chapter eighteen as the plow breaks the earth point
19|2454.87|Chapter 19. Diamonds and Stars|chapter nineteen diamonds and stars point of view moronic
20|2530.2275|Chapter 20. Patterns Within Patterns|chapter twenty pattern
21|2616.2|Chapter 21. Swovan Night|chapter twenty one so overnight point of view matt
22|2768.41|Chapter 22. Small Sacrifices|chapter twenty two small sacrifices point of view elaine
23|2885.63|Chapter 23. Next Door to a Weaver|chapter twenty three next door to a weaver point
24|2953.74|Chapter 24. The Kin|chapter twenty four the qin point of view ran
25|3029.2025|Chapter 25. Mindtrap|chapter twenty five mind trap point of view more
26|3079.3525|Chapter 26. The Irrevocable Words|chapter twenty six the irrevocable words point of view
27|3163.734375|Chapter 27. To Be Alone|chapter twenty seven to be alone point of view
28|3287.5962499999996|Chapter 28. Bread and Cheese|chapter twenty eight bread and cheese point of view
29|3386.455625|Chapter 29. The Festival of Birds|chapter twenty nine the festival of birds point of
30|4044.6318749999996|Chapter 30. The First Cup|chapter thirty the first cup point of view the
31|4161.533125|Chapter 31. Mashiara|chapter thirty one mushy our point of view nine
32|4387.106875|Chapter 32. Sealed to the Flame|chapter thirty two sealed to the flame point of
33|4554.845|Chapter 33. A Bath|chapter thirty three a bath point of view randell
34|4642.42375|Chapter 34. Ta'veren|chapter thirty four to veyron point of view randell
35|4778.031250000001|Chapter 35. Into the Woods|chapter thirty five into the woods point of view
36|4891.375|Chapter 36. Blades|chapter thirty six blades point of view men far
37|5050.374375|Chapter 37. A Note from the Palace|chapter thirty seven a note from the palace point
38|5122.797500000001|Chapter 38. Six Stories|chapter thirty eight six stories point of view matt
39|5277.35125|Chapter 39. Promises to Keep|chapter thirty nine promises to keep point of view
40|5986.064375|Chapter 40. Spears|chapter forty beers point of view galina caspian galina
41|6098.079375000001|Chapter 41. A Crown of Swords|chapter forty one a crown of swords point of
