Lan|LAN
Taren|Tawwren
Caemlyn|Kaymlin
Emond's|Emmond's
Valon|Vawlyn
Galad|Galaad
Moiraine|Mworane
Aes|Eyes
Egwene|Igwayne
Ghenjei|Ghenjai
Perrin|Pairin
Nynaeve|Nine'eev
Shayol|Shay'ole
Shienar|Shynarr
Saidin|Sai'deen
Cairhien|Kai'rienne
Seanchan|Shawn'chin
Daes|Dayes
Damane|Da'MAW'nee
Falme|Fal'meh
Selene|Seleen
Turak|Tworock
Jaichim|Jay'kem
Geofram|Jeffrem
Rhuidean|Roy'deonne
Siuan|Sewan
Noal|Noalle
ta'veren|tahveeren
Bela|Behla
Dyelin|Die’lin
Rodel|Rhodell
Saerin|Syreen
Amyrlin's|Ahmerlin’s
Leilwin|Lie’winn
Toveine|Toevienne
Arymilla|Ahrymilla
Thakan'dar|Thawkahndar
Jur|Jewr
Nae'blis|Nae’bliss
Daved|Dahveed
Saighan|Say’gahn
Gerard|Jerrard
Chulein|Chuleen
Jesse|Jess
Zeramene|Zerameen
Fanwar|Fahnwar
Morgase|Morgays
Talmanes|Tahlmahness
Juilin|Jeweleen
Masema|Mahsemma
Angreal|Ahn’gree’all
Leane|Lee’ahnna
Aiel|Eye’eel
Ituralde|Ee'two'rahl'day
al'Meara|al'Meera
al'Vere|al'Veer
Bornhald|Bornhauld
Carridin|Carriden
Cawthon|Cauthon
Damodred|Dawmodred
Dae'mar|Day'marr
Aybara|Eyebarra
Ghul|Ghoul
Sanche|Sawnchay
saidin|siedeen
Buie|Booie
